AccelerationX;AccelerationY;AccelerationZ;GyroscopeX;GyroscopeY;GyroscopeZ;Latitude;Longitude;Velocity;Altitude;Position;Hours;Minutes;Seconds;Date
-0,037390;0,009410;1,005850;-0,315340;-0,075020;0,245750;45,085680;14,156797;2,592800;160,400000;51,600000;10;45;20,314;06/01/2021
-0,037540;0,009470;1,005200;-0,309460;-0,076000;0,277950;45,085682;14,156797;2,592800;160,300000;49,900000;10;45;20,569;06/01/2021
-0,037960;0,009070;1,005740;-0,319460;-0,085210;0,245110;45,085682;14,156797;2,592800;160,100000;49,900000;10;45;20,825;06/01/2021
-0,037540;0,009130;1,005230;-0,315120;-0,080690;0,209130;45,085683;14,156797;2,592800;160,000000;46,500000;10;45;21,081;06/01/2021
-0,037580;0,009430;1,005590;-0,319080;-0,076170;0,191820;45,085683;14,156798;2,592800;160,000000;48,700000;10;45;21,337;06/01/2021
-0,037400;0,009100;1,005320;-0,314290;-0,077560;0,211480;45,085685;14,156798;2,407600;159,700000;46,900000;10;45;21,594;06/01/2021
-0,037980;0,009370;1,005890;-0,306640;-0,082930;0,229730;45,085685;14,156798;2,407600;159,700000;50,800000;10;45;21,849;06/01/2021
-0,037320;0,009300;1,005860;-0,316520;-0,072000;0,226580;45,085685;14,156798;2,222400;159,700000;51,700000;10;45;22,105;06/01/2021
-0,037670;0,009440;1,005860;-0,310130;-0,074270;0,243790;45,085687;14,156798;2,037200;159,500000;52,600000;10;45;22,361;06/01/2021
-0,037810;0,009130;1,006080;-0,308470;-0,072180;0,253960;45,085687;14,156800;2,037200;159,400000;57,900000;10;45;22,617;06/01/2021
-0,037450;0,009250;1,005670;-0,323010;-0,075390;0,205740;45,085687;14,156800;2,222400;159,200000;61,000000;10;45;22,874;06/01/2021
-0,037530;0,009400;1,005980;-0,309610;-0,080240;0,273250;45,085687;14,156800;2,222400;159,000000;61,400000;10;45;23,129;06/01/2021
-0,037570;0,009320;1,005140;-0,312760;-0,069560;0,276600;45,085688;14,156802;2,407600;158,800000;55,100000;10;45;23,385;06/01/2021
-0,037790;0,009320;1,005550;-0,311290;-0,078470;0,251310;45,085688;14,156802;2,222400;158,600000;58,100000;10;45;23,641;06/01/2021
-0,037340;0,009130;1,005260;-0,319250;-0,091050;0,247850;45,085690;14,156802;2,407600;158,500000;57,100000;10;45;23,897;06/01/2021
-0,037630;0,009310;1,005980;-0,310680;-0,074530;0,307030;45,085690;14,156802;2,407600;158,400000;58,300000;10;45;24,153;06/01/2021
